Elapsed time,ECG,Abdomen_1,Abdomen_2,Abdomen_3,Abdomen_4,Abdomen_5
'0:01.561',-0.036,0.011,-0.001,-0.005,-0.028,-0.032
'0:01.562',-0.037,0.013,-0.001,-0.008,-0.034,-0.044
'0:01.563',-0.032,0.016,-0.002,-0.01,-0.036,-0.052
'0:01.564',-0.032,0.017,-0.001,-0.011,-0.037,-0.057
'0:01.565',-0.033,0.019,0.001,-0.01,-0.036,-0.057
'0:01.566',-0.035,0.019,0.005,-0.007,-0.031,-0.054
'0:01.567',-0.036,0.02,0.01,-0.003,-0.023,-0.046
'0:01.568',-0.04,0.021,0.015,0.003,-0.013,-0.036
'0:01.569',-0.042,0.022,0.02,0.01,-0.003,-0.021
'0:01.570',-0.046,0.022,0.025,0.014,0.007,-0.005
'0:01.571',-0.049,0.021,0.027,0.018,0.017,0.011
'0:01.572',-0.046,0.021,0.029,0.022,0.024,0.025
'0:01.573',-0.046,0.022,0.03,0.024,0.029,0.037
'0:01.574',-0.047,0.024,0.031,0.025,0.031,0.044
'0:01.575',-0.046,0.026,0.029,0.025,0.031,0.047
'0:01.576',-0.048,0.028,0.026,0.022,0.028,0.044
'0:01.577',-0.051,0.028,0.022,0.017,0.02,0.037
'0:01.578',-0.051,0.029,0.017,0.011,0.01,0.024
'0:01.579',-0.054,0.028,0.013,0.005,-0.001,0.01
'0:01.580',-0.056,0.029,0.01,-0.002,-0.011,-0.006
'0:01.581',-0.051,0.029,0.007,-0.007,-0.021,-0.02
'0:01.582',-0.05,0.031,0.005,-0.012,-0.028,-0.032
'0:01.583',-0.052,0.03,0.003,-0.015,-0.032,-0.041
'0:01.584',-0.054,0.029,0.002,-0.016,-0.035,-0.046
'0:01.585',-0.052,0.028,0.002,-0.016,-0.032,-0.047
'0:01.586',-0.05,0.027,0.005,-0.013,-0.028,-0.042
'0:01.587',-0.051,0.026,0.01,-0.008,-0.021,-0.035
'0:01.588',-0.052,0.028,0.015,-0.001,-0.012,-0.024
'0:01.589',-0.051,0.029,0.021,0.007,-0.002,-0.01
'0:01.590',-0.056,0.029,0.026,0.013,0.008,0.006
'0:01.591',-0.06,0.028,0.029,0.019,0.016,0.02
'0:01.592',-0.057,0.029,0.032,0.024,0.024,0.031
'0:01.593',-0.057,0.029,0.034,0.028,0.028,0.041
'0:01.594',-0.056,0.03,0.035,0.03,0.031,0.048
'0:01.595',-0.052,0.031,0.036,0.031,0.032,0.049
'0:01.596',-0.052,0.032,0.035,0.028,0.029,0.047
'0:01.597',-0.052,0.031,0.031,0.024,0.023,0.039
'0:01.598',-0.053,0.03,0.026,0.016,0.015,0.027
'0:01.599',-0.057,0.03,0.021,0.008,0.003,0.01
'0:01.600',-0.057,0.031,0.016,0,-0.008,-0.008
'0:01.601',-0.057,0.032,0.012,-0.006,-0.018,-0.023
'0:01.602',-0.058,0.035,0.011,-0.011,-0.026,-0.036
'0:01.603',-0.056,0.035,0.009,-0.013,-0.031,-0.042
'0:01.604',-0.053,0.033,0.008,-0.014,-0.035,-0.046
'0:01.605',-0.051,0.031,0.007,-0.014,-0.033,-0.046
'0:01.606',-0.05,0.029,0.009,-0.011,-0.028,-0.042
'0:01.607',-0.05,0.028,0.012,-0.007,-0.021,-0.032
'0:01.608',-0.05,0.026,0.016,0,-0.01,-0.02
'0:01.609',-0.045,0.025,0.02,0.008,0.002,-0.005
'0:01.610',-0.04,0.024,0.025,0.014,0.013,0.011
'0:01.611',-0.041,0.022,0.027,0.021,0.023,0.026
'0:01.612',-0.047,0.021,0.029,0.026,0.032,0.038
'0:01.613',-0.048,0.022,0.031,0.029,0.037,0.047
'0:01.614',-0.044,0.024,0.032,0.03,0.039,0.052
'0:01.615',-0.042,0.026,0.032,0.031,0.039,0.053
'0:01.616',-0.047,0.027,0.031,0.028,0.033,0.049
'0:01.617',-0.05,0.028,0.027,0.022,0.026,0.041
'0:01.618',-0.05,0.028,0.023,0.015,0.016,0.029
'0:01.619',-0.048,0.028,0.019,0.01,0.005,0.015
'0:01.620',-0.043,0.03,0.015,0.004,-0.005,0
'0:01.621',-0.046,0.031,0.012,-0.002,-0.013,-0.015
'0:01.622',-0.05,0.033,0.011,-0.005,-0.019,-0.026
'0:01.623',-0.049,0.033,0.009,-0.008,-0.023,-0.034
'0:01.624',-0.049,0.033,0.007,-0.01,-0.025,-0.039
'0:01.625',-0.05,0.032,0.007,-0.01,-0.024,-0.041
'0:01.626',-0.05,0.032,0.01,-0.006,-0.019,-0.038
'0:01.627',-0.05,0.033,0.015,-0.001,-0.015,-0.031
'0:01.628',-0.049,0.033,0.02,0.006,-0.006,-0.02
'0:01.629',-0.05,0.031,0.025,0.012,0.005,-0.007
'0:01.630',-0.054,0.031,0.029,0.019,0.013,0.007
'0:01.631',-0.061,0.028,0.032,0.025,0.022,0.021
'0:01.632',-0.059,0.026,0.034,0.029,0.028,0.031
'0:01.633',-0.055,0.026,0.035,0.033,0.033,0.039
'0:01.634',-0.057,0.025,0.036,0.034,0.037,0.044
'0:01.635',-0.059,0.026,0.036,0.034,0.037,0.046
'0:01.636',-0.055,0.026,0.032,0.031,0.033,0.042
'0:01.637',-0.046,0.027,0.029,0.026,0.026,0.036
'0:01.638',-0.04,0.028,0.024,0.019,0.016,0.024
'0:01.639',-0.042,0.028,0.018,0.01,0.004,0.009
'0:01.640',-0.044,0.03,0.014,0.003,-0.008,-0.007
'0:01.641',-0.046,0.033,0.011,-0.004,-0.018,-0.022
'0:01.642',-0.044,0.034,0.01,-0.008,-0.025,-0.034
'0:01.643',-0.04,0.035,0.009,-0.011,-0.031,-0.044
'0:01.644',-0.041,0.033,0.008,-0.012,-0.034,-0.049
'0:01.645',-0.047,0.031,0.008,-0.012,-0.032,-0.049
'0:01.646',-0.05,0.029,0.01,-0.009,-0.029,-0.044
'0:01.647',-0.051,0.029,0.013,-0.005,-0.02,-0.035
'0:01.648',-0.051,0.028,0.017,0.002,-0.009,-0.021
'0:01.649',-0.046,0.028,0.021,0.01,0.002,-0.005
'0:01.650',-0.046,0.026,0.025,0.016,0.013,0.011
'0:01.651',-0.048,0.022,0.026,0.021,0.022,0.025
'0:01.652',-0.046,0.02,0.028,0.025,0.028,0.036
'0:01.653',-0.041,0.018,0.029,0.027,0.032,0.044
'0:01.654',-0.041,0.017,0.03,0.028,0.035,0.048
'0:01.655',-0.046,0.018,0.029,0.027,0.034,0.049
'0:01.656',-0.047,0.018,0.027,0.025,0.03,0.044
'0:01.657',-0.046,0.018,0.024,0.019,0.022,0.036
'0:01.658',-0.047,0.017,0.018,0.012,0.013,0.024
'0:01.659',-0.052,0.018,0.014,0.006,0.002,0.01
'0:01.660',-0.049,0.019,0.01,0,-0.007,-0.004
'0:01.661',-0.042,0.022,0.007,-0.005,-0.015,-0.016
'0:01.662',-0.045,0.022,0.006,-0.008,-0.021,-0.027
'0:01.663',-0.052,0.021,0.004,-0.011,-0.025,-0.036
'0:01.664',-0.052,0.02,0.002,-0.011,-0.028,-0.041
'0:01.665',-0.046,0.017,0.002,-0.011,-0.026,-0.042
'0:01.666',-0.051,0.017,0.004,-0.008,-0.022,-0.039
'0:01.667',-0.058,0.016,0.007,-0.004,-0.015,-0.032
'0:01.668',-0.059,0.016,0.012,0.003,-0.006,-0.021
'0:01.669',-0.054,0.015,0.017,0.009,0.002,-0.008
'0:01.670',-0.054,0.014,0.021,0.014,0.011,0.005
'0:01.671',-0.056,0.012,0.023,0.018,0.018,0.018
'0:01.672',-0.053,0.011,0.023,0.021,0.025,0.029
'0:01.673',-0.051,0.01,0.024,0.023,0.028,0.037
'0:01.674',-0.052,0.01,0.025,0.024,0.031,0.042
'0:01.675',-0.057,0.01,0.023,0.023,0.031,0.042
'0:01.676',-0.061,0.01,0.021,0.02,0.027,0.039
'0:01.677',-0.06,0.01,0.017,0.016,0.021,0.031
'0:01.678',-0.055,0.01,0.012,0.01,0.012,0.02
'0:01.679',-0.057,0.011,0.009,0.003,0.001,0.005
'0:01.680',-0.062,0.013,0.005,-0.005,-0.009,-0.011
'0:01.681',-0.062,0.016,0.003,-0.011,-0.019,-0.026
'0:01.682',-0.06,0.018,0.001,-0.014,-0.026,-0.038
'0:01.683',-0.059,0.018,-0.001,-0.018,-0.031,-0.049
'0:01.684',-0.062,0.017,-0.002,-0.019,-0.034,-0.054
'0:01.685',-0.064,0.015,-0.002,-0.019,-0.035,-0.057
'0:01.686',-0.06,0.013,-0.001,-0.017,-0.031,-0.054
'0:01.687',-0.063,0.013,0.001,-0.012,-0.025,-0.046
'0:01.688',-0.065,0.013,0.005,-0.005,-0.016,-0.034
'0:01.689',-0.06,0.013,0.01,0.002,-0.006,-0.021
'0:01.690',-0.054,0.012,0.012,0.008,0.005,-0.005
'0:01.691',-0.056,0.011,0.015,0.012,0.012,0.01
'0:01.692',-0.057,0.01,0.016,0.016,0.02,0.021
'0:01.693',-0.06,0.01,0.017,0.018,0.024,0.03
'0:01.694',-0.061,0.01,0.019,0.019,0.027,0.036
'0:01.695',-0.062,0.01,0.02,0.019,0.026,0.037
'0:01.696',-0.062,0.011,0.017,0.016,0.023,0.034
'0:01.697',-0.062,0.012,0.015,0.011,0.017,0.027
'0:01.698',-0.062,0.013,0.009,0.004,0.007,0.016
'0:01.699',-0.066,0.013,0.005,-0.003,-0.005,0.001
'0:01.700',-0.067,0.013,0.001,-0.01,-0.016,-0.015
'0:01.701',-0.071,0.013,-0.003,-0.016,-0.026,-0.03
'0:01.702',-0.077,0.014,-0.005,-0.019,-0.035,-0.042
'0:01.703',-0.079,0.014,-0.007,-0.023,-0.039,-0.052
'0:01.704',-0.082,0.013,-0.007,-0.025,-0.041,-0.057
'0:01.705',-0.081,0.012,-0.007,-0.024,-0.041,-0.058
'0:01.706',-0.076,0.013,-0.006,-0.021,-0.036,-0.054
'0:01.707',-0.077,0.014,-0.001,-0.015,-0.029,-0.046
'0:01.708',-0.08,0.016,0.005,-0.007,-0.019,-0.033
'0:01.709',-0.079,0.016,0.01,0.001,-0.007,-0.019
'0:01.710',-0.081,0.016,0.015,0.008,0.005,-0.003
'0:01.711',-0.083,0.015,0.019,0.014,0.013,0.011
'0:01.712',-0.084,0.015,0.021,0.018,0.019,0.022
'0:01.713',-0.08,0.014,0.023,0.02,0.023,0.031
'0:01.714',-0.073,0.014,0.024,0.021,0.025,0.036
'0:01.715',-0.074,0.015,0.022,0.02,0.024,0.036
'0:01.716',-0.082,0.013,0.019,0.017,0.019,0.032
'0:01.717',-0.085,0.013,0.014,0.012,0.011,0.025
'0:01.718',-0.084,0.012,0.009,0.005,0.002,0.012
'0:01.719',-0.086,0.013,0.004,-0.003,-0.009,-0.002
'0:01.720',-0.088,0.015,0,-0.009,-0.019,-0.017
'0:01.721',-0.087,0.017,-0.002,-0.014,-0.027,-0.032
'0:01.722',-0.087,0.019,-0.003,-0.018,-0.032,-0.045
'0:01.723',-0.083,0.021,-0.003,-0.02,-0.037,-0.055
'0:01.724',-0.081,0.022,-0.004,-0.021,-0.039,-0.062
'0:01.725',-0.08,0.022,-0.002,-0.019,-0.038,-0.064
'0:01.726',-0.08,0.021,0,-0.016,-0.036,-0.061
'0:01.727',-0.085,0.021,0.004,-0.012,-0.028,-0.053
'0:01.728',-0.087,0.021,0.008,-0.005,-0.019,-0.041
'0:01.729',-0.087,0.02,0.014,0.002,-0.008,-0.026
'0:01.730',-0.092,0.019,0.018,0.008,0.002,-0.01
'0:01.731',-0.098,0.018,0.022,0.014,0.012,0.003
'0:01.732',-0.099,0.017,0.025,0.02,0.019,0.015
'0:01.733',-0.097,0.017,0.028,0.023,0.025,0.022
'0:01.734',-0.1,0.019,0.03,0.026,0.027,0.027
'0:01.735',-0.098,0.02,0.031,0.027,0.026,0.028
'0:01.736',-0.092,0.022,0.029,0.025,0.024,0.025
'0:01.737',-0.083,0.022,0.026,0.019,0.016,0.017
'0:01.738',-0.08,0.023,0.02,0.012,0.007,0.007
'0:01.739',-0.08,0.024,0.015,0.005,-0.005,-0.007
'0:01.740',-0.073,0.026,0.01,-0.002,-0.015,-0.021
'0:01.741',-0.066,0.027,0.006,-0.008,-0.023,-0.034
'0:01.742',-0.066,0.028,0.003,-0.013,-0.03,-0.047
'0:01.743',-0.072,0.027,0.001,-0.017,-0.035,-0.055
'0:01.744',-0.079,0.025,-0.001,-0.019,-0.037,-0.06
'0:01.745',-0.08,0.024,0.001,-0.019,-0.036,-0.061
'0:01.746',-0.075,0.023,0.003,-0.016,-0.031,-0.057
'0:01.747',-0.08,0.024,0.01,-0.009,-0.022,-0.048
'0:01.748',-0.086,0.025,0.016,-0.001,-0.011,-0.036
'0:01.749',-0.084,0.025,0.021,0.008,0.001,-0.021
'0:01.750',-0.077,0.023,0.026,0.014,0.012,-0.006
'0:01.751',-0.076,0.022,0.027,0.021,0.021,0.007
'0:01.752',-0.081,0.022,0.029,0.026,0.028,0.02
'0:01.753',-0.086,0.022,0.029,0.028,0.031,0.028
'0:01.754',-0.087,0.023,0.029,0.029,0.033,0.032
'0:01.755',-0.09,0.024,0.029,0.028,0.031,0.033
'0:01.756',-0.095,0.026,0.027,0.025,0.025,0.029
'0:01.757',-0.097,0.026,0.024,0.019,0.018,0.021
'0:01.758',-0.096,0.025,0.02,0.012,0.008,0.007
'0:01.759',-0.101,0.025,0.015,0.005,-0.003,-0.007
'0:01.760',-0.1,0.026,0.012,-0.001,-0.015,-0.023
'0:01.761',-0.095,0.028,0.01,-0.007,-0.023,-0.037
'0:01.762',-0.092,0.029,0.007,-0.011,-0.029,-0.049
'0:01.763',-0.094,0.029,0.006,-0.014,-0.032,-0.056
'0:01.764',-0.095,0.028,0.005,-0.016,-0.035,-0.06
'0:01.765',-0.093,0.026,0.004,-0.016,-0.032,-0.059
'0:01.766',-0.09,0.026,0.006,-0.014,-0.028,-0.055
'0:01.767',-0.091,0.027,0.01,-0.008,-0.021,-0.046
'0:01.768',-0.088,0.028,0.015,-0.001,-0.012,-0.034
'0:01.769',-0.081,0.028,0.021,0.007,-0.001,-0.02
'0:01.770',-0.081,0.026,0.026,0.014,0.008,-0.005
'0:01.771',-0.082,0.024,0.029,0.02,0.018,0.008
'0:01.772',-0.077,0.023,0.03,0.023,0.024,0.018
'0:01.773',-0.072,0.022,0.032,0.024,0.028,0.024
'0:01.774',-0.068,0.022,0.031,0.023,0.028,0.027
'0:01.775',-0.07,0.023,0.029,0.021,0.026,0.026
'0:01.776',-0.077,0.023,0.025,0.016,0.021,0.021
'0:01.777',-0.078,0.022,0.021,0.01,0.011,0.01
'0:01.778',-0.077,0.021,0.015,0.002,0.001,-0.003
'0:01.779',-0.081,0.02,0.01,-0.006,-0.011,-0.017
'0:01.780',-0.087,0.02,0.005,-0.012,-0.022,-0.032
'0:01.781',-0.091,0.02,0.001,-0.017,-0.03,-0.046
'0:01.782',-0.091,0.02,-0.002,-0.022,-0.037,-0.057
'0:01.783',-0.086,0.019,-0.003,-0.023,-0.041,-0.064
'0:01.784',-0.087,0.019,-0.003,-0.023,-0.042,-0.068
'0:01.785',-0.09,0.019,-0.001,-0.021,-0.04,-0.068
'0:01.786',-0.089,0.02,0.002,-0.016,-0.035,-0.064
'0:01.787',-0.087,0.021,0.007,-0.011,-0.027,-0.056
'0:01.788',-0.084,0.021,0.013,-0.004,-0.017,-0.044
'0:01.789',-0.08,0.021,0.017,0.003,-0.006,-0.029
'0:01.790',-0.081,0.017,0.019,0.007,0.003,-0.015
'0:01.791',-0.085,0.015,0.019,0.01,0.011,-0.001
'0:01.792',-0.085,0.012,0.019,0.011,0.016,0.01
'0:01.793',-0.084,0.011,0.018,0.011,0.018,0.017
'0:01.794',-0.081,0.012,0.017,0.011,0.017,0.021
'0:01.795',-0.082,0.013,0.016,0.01,0.014,0.02
'0:01.796',-0.086,0.013,0.012,0.006,0.008,0.016
'0:01.797',-0.082,0.014,0.009,0.001,-0.001,0.006
'0:01.798',-0.076,0.013,0.004,-0.006,-0.01,-0.005
'0:01.799',-0.072,0.014,0,-0.012,-0.019,-0.017
'0:01.800',-0.068,0.016,-0.002,-0.017,-0.028,-0.031
'0:01.801',-0.066,0.017,-0.005,-0.021,-0.033,-0.042
'0:01.802',-0.066,0.018,-0.006,-0.024,-0.038,-0.052
'0:01.803',-0.059,0.017,-0.009,-0.026,-0.042,-0.059
'0:01.804',-0.054,0.015,-0.011,-0.027,-0.044,-0.063
'0:01.805',-0.052,0.011,-0.013,-0.028,-0.044,-0.064
'0:01.806',-0.052,0.007,-0.013,-0.028,-0.04,-0.06
'0:01.807',-0.055,0.004,-0.011,-0.025,-0.034,-0.052
'0:01.808',-0.056,0.001,-0.008,-0.019,-0.025,-0.04
'0:01.809',-0.053,-0.001,-0.005,-0.012,-0.015,-0.026
'0:01.810',-0.052,-0.003,-0.001,-0.006,-0.004,-0.01
'0:01.811',-0.057,-0.003,0.002,0,0.006,0.005
'0:01.812',-0.065,-0.004,0.005,0.005,0.014,0.017
'0:01.813',-0.066,-0.003,0.007,0.01,0.02,0.026
'0:01.814',-0.06,0,0.01,0.012,0.023,0.032
'0:01.815',-0.054,0.003,0.012,0.012,0.024,0.033
'0:01.816',-0.057,0.004,0.012,0.011,0.021,0.03
'0:01.817',-0.057,0.005,0.01,0.006,0.014,0.022
'0:01.818',-0.056,0.006,0.007,-0.001,0.006,0.011
'0:01.819',-0.06,0.007,0.004,-0.008,-0.005,-0.002
'0:01.820',-0.062,0.008,0,-0.014,-0.016,-0.017
'0:01.821',-0.062,0.01,-0.003,-0.02,-0.025,-0.032
'0:01.822',-0.061,0.011,-0.007,-0.025,-0.032,-0.046
'0:01.823',-0.064,0.012,-0.01,-0.029,-0.038,-0.054
'0:01.824',-0.066,0.011,-0.011,-0.03,-0.041,-0.061
'0:01.825',-0.062,0.01,-0.011,-0.03,-0.042,-0.064
'0:01.826',-0.059,0.008,-0.01,-0.029,-0.039,-0.061
'0:01.827',-0.066,0.007,-0.006,-0.025,-0.032,-0.055
'0:01.828',-0.071,0.006,0,-0.019,-0.024,-0.044
'0:01.829',-0.066,0.006,0.006,-0.012,-0.013,-0.031
'0:01.830',-0.06,0.006,0.011,-0.006,-0.002,-0.016
'0:01.831',-0.057,0.005,0.015,-0.001,0.007,-0.001
'0:01.832',-0.054,0.004,0.017,0.005,0.015,0.013
'0:01.833',-0.05,0.004,0.019,0.008,0.021,0.022
'0:01.834',-0.048,0.004,0.019,0.01,0.023,0.029
'0:01.835',-0.05,0.004,0.016,0.01,0.023,0.031
'0:01.836',-0.049,0.004,0.011,0.006,0.018,0.027
'0:01.837',-0.046,0.003,0.006,0,0.009,0.019
'0:01.838',-0.042,0.001,-0.001,-0.008,-0.001,0.005
'0:01.839',-0.042,0.001,-0.007,-0.016,-0.013,-0.011
'0:01.840',-0.039,0,-0.012,-0.025,-0.026,-0.027
'0:01.841',-0.041,0.001,-0.016,-0.031,-0.036,-0.042
'0:01.842',-0.045,0.001,-0.019,-0.036,-0.044,-0.055
'0:01.843',-0.051,0.001,-0.021,-0.039,-0.049,-0.064
'0:01.844',-0.057,-0.001,-0.022,-0.041,-0.051,-0.068
'0:01.845',-0.061,-0.001,-0.021,-0.039,-0.05,-0.069
'0:01.846',-0.065,0,-0.017,-0.035,-0.044,-0.066
'0:01.847',-0.068,0.003,-0.011,-0.028,-0.036,-0.059
'0:01.848',-0.071,0.005,-0.003,-0.021,-0.025,-0.05
'0:01.849',-0.068,0.008,0.004,-0.012,-0.013,-0.039
'0:01.850',-0.071,0.009,0.01,-0.005,-0.004,-0.026
'0:01.851',-0.077,0.009,0.013,0,0.005,-0.013
'0:01.852',-0.082,0.009,0.016,0.005,0.012,-0.002
'0:01.853',-0.085,0.01,0.017,0.008,0.016,0.007
'0:01.854',-0.089,0.013,0.018,0.01,0.018,0.013
'0:01.855',-0.092,0.016,0.019,0.011,0.017,0.015
'0:01.856',-0.097,0.017,0.016,0.008,0.012,0.012
'0:01.857',-0.094,0.019,0.012,0.003,0.005,0.005
'0:01.858',-0.093,0.02,0.007,-0.004,-0.006,-0.009
'0:01.859',-0.097,0.02,0.002,-0.011,-0.017,-0.024
'0:01.860',-0.102,0.02,-0.002,-0.018,-0.028,-0.042
'0:01.861',-0.107,0.021,-0.005,-0.023,-0.038,-0.058
'0:01.862',-0.108,0.021,-0.007,-0.028,-0.045,-0.07
'0:01.863',-0.105,0.022,-0.007,-0.031,-0.05,-0.078
'0:01.864',-0.104,0.022,-0.007,-0.031,-0.051,-0.083
'0:01.865',-0.102,0.023,-0.005,-0.031,-0.05,-0.082
'0:01.866',-0.102,0.025,-0.001,-0.026,-0.044,-0.077
'0:01.867',-0.105,0.028,0.006,-0.019,-0.035,-0.068
'0:01.868',-0.108,0.029,0.012,-0.01,-0.024,-0.054
'0:01.869',-0.105,0.03,0.019,-0.001,-0.012,-0.039
'0:01.870',-0.102,0.03,0.024,0.006,-0.001,-0.023
'0:01.871',-0.105,0.028,0.026,0.012,0.008,-0.008
'0:01.872',-0.106,0.026,0.027,0.016,0.014,0.003
'0:01.873',-0.105,0.024,0.026,0.017,0.018,0.012
'0:01.874',-0.102,0.023,0.025,0.018,0.019,0.016
'0:01.875',-0.106,0.022,0.023,0.017,0.018,0.017
'0:01.876',-0.115,0.021,0.021,0.015,0.015,0.013
'0:01.877',-0.117,0.021,0.018,0.01,0.008,0.006
'0:01.878',-0.116,0.02,0.014,0.004,-0.002,-0.007
'0:01.879',-0.115,0.021,0.011,-0.003,-0.011,-0.022
'0:01.880',-0.112,0.023,0.009,-0.008,-0.021,-0.037
'0:01.881',-0.109,0.026,0.006,-0.011,-0.029,-0.052
'0:01.882',-0.107,0.028,0.005,-0.015,-0.037,-0.064
'0:01.883',-0.106,0.031,0.005,-0.017,-0.041,-0.072
'0:01.884',-0.104,0.032,0.005,-0.017,-0.043,-0.075
'0:01.885',-0.1,0.033,0.005,-0.016,-0.042,-0.075
'0:01.886',-0.095,0.034,0.008,-0.012,-0.038,-0.069
'0:01.887',-0.095,0.035,0.012,-0.006,-0.031,-0.061
'0:01.888',-0.098,0.035,0.017,0.001,-0.02,-0.047
'0:01.889',-0.098,0.035,0.023,0.01,-0.009,-0.032
'0:01.890',-0.099,0.033,0.027,0.017,0.003,-0.017
'0:01.891',-0.102,0.031,0.031,0.023,0.013,-0.003
'0:01.892',-0.106,0.031,0.034,0.028,0.022,0.008
'0:01.893',-0.109,0.032,0.036,0.032,0.028,0.017
'0:01.894',-0.105,0.034,0.039,0.034,0.031,0.024
'0:01.895',-0.106,0.038,0.039,0.035,0.03,0.025
'0:01.896',-0.106,0.04,0.038,0.034,0.026,0.022
'0:01.897',-0.101,0.042,0.036,0.028,0.019,0.014
'0:01.898',-0.1,0.042,0.031,0.022,0.009,0.001
'0:01.899',-0.107,0.042,0.026,0.014,-0.002,-0.015
'0:01.900',-0.107,0.044,0.021,0.006,-0.015,-0.03
'0:01.901',-0.106,0.046,0.018,0.001,-0.025,-0.044
'0:01.902',-0.108,0.047,0.016,-0.003,-0.031,-0.057
'0:01.903',-0.107,0.047,0.013,-0.005,-0.036,-0.066
'0:01.904',-0.109,0.047,0.012,-0.007,-0.038,-0.069
'0:01.905',-0.113,0.046,0.012,-0.006,-0.036,-0.071
'0:01.906',-0.112,0.046,0.015,-0.004,-0.032,-0.068
'0:01.907',-0.111,0.046,0.019,0.001,-0.025,-0.06
'0:01.908',-0.107,0.045,0.024,0.006,-0.016,-0.049
'0:01.909',-0.1,0.044,0.028,0.012,-0.006,-0.035
'0:01.910',-0.097,0.041,0.032,0.017,0.004,-0.02
'0:01.911',-0.1,0.04,0.034,0.023,0.012,-0.006
'0:01.912',-0.096,0.037,0.036,0.026,0.019,0.006
'0:01.913',-0.09,0.037,0.036,0.029,0.025,0.013
'0:01.914',-0.086,0.036,0.036,0.031,0.027,0.017
'0:01.915',-0.086,0.037,0.035,0.031,0.026,0.017
'0:01.916',-0.086,0.038,0.032,0.028,0.022,0.012
'0:01.917',-0.082,0.038,0.027,0.023,0.016,0.004
'0:01.918',-0.078,0.038,0.022,0.016,0.005,-0.009
'0:01.919',-0.079,0.038,0.017,0.008,-0.006,-0.022
'0:01.920',-0.076,0.038,0.012,-0.001,-0.018,-0.037
'0:01.921',-0.071,0.04,0.01,-0.008,-0.027,-0.051
'0:01.922',-0.071,0.04,0.007,-0.012,-0.033,-0.062
'0:01.923',-0.071,0.04,0.006,-0.016,-0.038,-0.071
'0:01.924',-0.072,0.038,0.005,-0.017,-0.039,-0.076
'0:01.925',-0.067,0.036,0.005,-0.017,-0.038,-0.079
'0:01.926',-0.06,0.034,0.005,-0.014,-0.036,-0.078
'0:01.927',-0.058,0.031,0.007,-0.011,-0.032,-0.073
'0:01.928',-0.06,0.028,0.009,-0.008,-0.027,-0.067
'0:01.929',-0.056,0.023,0.009,-0.005,-0.022,-0.06
'0:01.930',-0.049,0.016,0.007,-0.005,-0.021,-0.054
'0:01.931',-0.037,0.008,0.002,-0.008,-0.022,-0.05
'0:01.932',-0.02,-0.002,-0.003,-0.012,-0.025,-0.049
'0:01.933',-0.005,-0.012,-0.01,-0.019,-0.029,-0.05
'0:01.934',0.009,-0.022,-0.017,-0.026,-0.036,-0.052
'0:01.935',0.023,-0.031,-0.027,-0.034,-0.044,-0.058
'0:01.936',0.044,-0.041,-0.039,-0.045,-0.053,-0.064
'0:01.937',0.07,-0.052,-0.051,-0.056,-0.066,-0.075
'0:01.938',0.096,-0.062,-0.065,-0.07,-0.079,-0.088
'0:01.939',0.128,-0.072,-0.077,-0.082,-0.093,-0.101
'0:01.940',0.166,-0.081,-0.088,-0.093,-0.104,-0.114
'0:01.941',0.211,-0.088,-0.097,-0.101,-0.113,-0.122
'0:01.942',0.264,-0.096,-0.104,-0.106,-0.114,-0.123
'0:01.943',0.328,-0.104,-0.11,-0.107,-0.111,-0.116
'0:01.944',0.387,-0.114,-0.113,-0.104,-0.101,-0.1
'0:01.945',0.45,-0.122,-0.113,-0.098,-0.084,-0.073
'0:01.946',0.521,-0.131,-0.111,-0.086,-0.061,-0.038
'0:01.947',0.595,-0.136,-0.108,-0.071,-0.031,0.006
'0:01.948',0.664,-0.142,-0.102,-0.053,0.005,0.058
'0:01.949',0.725,-0.147,-0.095,-0.032,0.041,0.114
'0:01.950',0.78,-0.152,-0.088,-0.011,0.079,0.173
'0:01.951',0.828,-0.156,-0.081,0.008,0.115,0.231
'0:01.952',0.872,-0.158,-0.072,0.029,0.15,0.288
'0:01.953',0.918,-0.156,-0.062,0.049,0.184,0.34
'0:01.954',0.966,-0.152,-0.049,0.07,0.215,0.389
'0:01.955',1.006,-0.144,-0.037,0.088,0.243,0.431
'0:01.956',1.038,-0.135,-0.026,0.105,0.268,0.466
'0:01.957',1.074,-0.124,-0.016,0.119,0.286,0.491
'0:01.958',1.114,-0.114,-0.008,0.128,0.299,0.506
'0:01.959',1.147,-0.102,-0.002,0.135,0.305,0.512
'0:01.960',1.163,-0.091,0.002,0.138,0.306,0.508
'0:01.961',1.17,-0.082,0.006,0.138,0.301,0.498
'0:01.962',1.173,-0.074,0.01,0.136,0.295,0.484
'0:01.963',1.155,-0.068,0.011,0.135,0.288,0.469
'0:01.964',1.11,-0.062,0.015,0.132,0.281,0.455
'0:01.965',1.06,-0.054,0.02,0.133,0.276,0.441
'0:01.966',0.998,-0.043,0.029,0.136,0.274,0.428
'0:01.967',0.921,-0.029,0.041,0.141,0.272,0.415
'0:01.968',0.844,-0.013,0.055,0.146,0.271,0.401
'0:01.969',0.759,0.004,0.069,0.152,0.268,0.385
'0:01.970',0.641,0.022,0.083,0.156,0.262,0.365
'0:01.971',0.502,0.04,0.096,0.158,0.252,0.342
'0:01.972',0.374,0.062,0.109,0.16,0.24,0.316
'0:01.973',0.281,0.084,0.123,0.162,0.227,0.288
